Thu 14 Dec 2023 14:01:26: Opened File
Thu 14 Dec 2023 14:01:27: ==New Motion Triggered==
	Time(ms)	Position	Speed	Force	Power	Voltage	Errors
Thu 14 Dec 2023 14:01:27: 	84.467003	55689	-770	7633	14	24326	0
Thu 14 Dec 2023 14:01:27: 	84.941002	55374	-760	8944	14	24326	0
Thu 14 Dec 2023 14:01:27: 	85.476997	54957	-768	11392	14	24326	0
Thu 14 Dec 2023 14:01:27: 	85.999001	54670	-754	12662	14	24326	0
Thu 14 Dec 2023 14:01:27: 	86.528999	54277	-758	14511	14	24326	0
Thu 14 Dec 2023 14:01:27: 	86.971001	53964	-744	15880	14	24326	0
Thu 14 Dec 2023 14:01:27: 	87.466003	53692	-740	16535	14	24326	0
Thu 14 Dec 2023 14:01:27: 	87.981003	53349	-727	17256	14	24326	0
Thu 14 Dec 2023 14:01:27: 	88.528999	53080	-723	17156	13	24344	0
Thu 14 Dec 2023 14:01:27: 	88.995003	52814	-704	17341	13	24344	0
Thu 14 Dec 2023 14:01:27: 	89.527000	52494	-701	17615	13	24344	0
Thu 14 Dec 2023 14:01:27: 	90.107002	52257	-684	17589	11	24344	0
Thu 14 Dec 2023 14:01:27: 	91.183998	51932	-673	17237	10	24344	0
Thu 14 Dec 2023 14:01:27: 	91.613998	51390	-646	18091	10	24344	0
Thu 14 Dec 2023 14:01:27: 	92.123001	51126	-638	18125	8	24344	0
Thu 14 Dec 2023 14:01:27: 	92.519997	50955	-623	18327	8	24308	0
Thu 14 Dec 2023 14:01:27: 	93.004997	50734	-614	19082	7	24308	0
Thu 14 Dec 2023 14:01:27: 	93.475998	50527	-603	18815	8	24308	0
Thu 14 Dec 2023 14:01:27: 	93.989998	50331	-587	19231	8	24308	0
Thu 14 Dec 2023 14:01:27: 	94.449997	50163	-579	19393	7	24308	0
Thu 14 Dec 2023 14:01:27: 	94.862999	49972	-564	19237	7	24308	0
Thu 14 Dec 2023 14:01:27: 	95.360001	49800	-551	19713	7	24308	0
Thu 14 Dec 2023 14:01:27: 	95.905998	49596	-537	19958	5	24308	0
Thu 14 Dec 2023 14:01:27: 	96.320000	49473	-521	20488	5	24308	0
Thu 14 Dec 2023 14:01:27: 	96.712997	49302	-511	20977	5	24308	0
Thu 14 Dec 2023 14:01:27: 	97.235001	49184	-496	21413	5	24308	0
Thu 14 Dec 2023 14:01:27: 	97.653999	49071	-478	22200	4	24308	0
Thu 14 Dec 2023 14:01:27: 	98.053001	48972	-468	22577	4	24308	0
Thu 14 Dec 2023 14:01:27: 	98.531998	48835	-459	22981	4	24308	0
Thu 14 Dec 2023 14:01:27: 	98.916000	48714	-445	23240	3	24308	0
Thu 14 Dec 2023 14:01:27: 	99.463997	48623	-433	23662	3	24308	0
Thu 14 Dec 2023 14:01:27: 	99.999001	48480	-416	24325	3	24308	0
Thu 14 Dec 2023 14:01:27: 	100.522003	48424	-395	21050	2	24308	0
Thu 14 Dec 2023 14:01:27: 	100.942001	48308	-382	25618	3	24308	0
